上海	Shanghai
上海市	Shanghai Shi
中华人民共和国	Zhonghua Renmin Gongheguo
中华	Zhonghua
中国	Zhongguo
中國	﻿Zhongguo
中華人民共和國	Zhonghua Renmin Gongheguo
中華	Zhonghua
乌鲁木齐	Wulumuqi
乌鲁木齐市	Wulumuqi Shi
云南	Yunnan
云南省	Yunnan Sheng
內蒙古自治區	Nei Menggu Zizhiqu
內蒙古	Nei Menggu
兰州	Lanzhou
兰州市	Lanzhou Shi
内蒙古自治区	Nei Menggu Zizhiqu
内蒙古	Nei Menggu
北京	Beijing
北京市	Beijing Shi
南京	Nanjing
南京市	Nanjing Shi
南宁	Nanning
南宁市	Nanning Shi
南寧	Nanning
南寧市	Nanning Shi
南昌	Nanchang
南昌市	Nanchang Shi
合肥	Hefei
合肥市	Hefei Shi
吉林	Jilin
吉林省	Jilin Sheng
新店	Xindian
呼和浩特	Huhehaote
呼和浩特市	Huhehaote Shi
哈尔滨	Haerbin
哈尔滨市	Haerbin Shi
哈爾濱	Haerbin
哈爾濱市	Haerbin Shi
四川	Sichuan
四川省	Sichuan Sheng
天津	Tianjin
天津市	Tianjin Shi
太原	Taiyuan
太原市	Taiyuan Shi
宁夏回族自治区	Ningxia Huizu Zizhiqu
宁夏	Ningxia
安徽	Anhui
安徽省	Anhui Sheng
寧夏回族自治區	Ningxia Huizu Zizhiqu
寧夏	Ningxia
山东	Shandong
山东省	Shandong Sheng
山東	Shandong
山東省	Shandong Sheng
山西	Shanxi
山西省	Shanxi Sheng
广东	Guangdong
广东省	Guangdong Sheng
广州	Guangzhou
广州市	Guangzhou Shi
广西壮族自治区	Guangxi Zhuangzu Zizhiqu
广西	Guangxi
廣州	Guangzhou
廣州市	Guangzhou Shi
廣東	Guangdong
廣東省	Guangdong Sheng
廣西壯族自治區	Guangxi Zhuangzu Zizhiqu
廣西	Guangxi
成都	Chengdu
成都市	Chengdu Shi
拉萨	Lasa
拉萨市	Lasa Shi
拉薩	Lasa
拉薩市	Lasa Shi
新疆	Xinjiang
昆明	Kunming
昆明市	Kunming Shi
杭州	Hangzhou
杭州市	Hangzhou Shi
武汉	Wuhan
武汉市	Wuhan Shi
武漢	Wuhan
武漢市	Wuhan Shi
江苏	Jiangsu
江苏省	Jiangsu Sheng
江蘇	Jiangsu
江蘇省	Jiangsu Sheng
江西	Jiangxi
江西省	Jiangxi Sheng
河北	Hebei
河北省	Hebei Sheng
河南	Henan
河南省	Henan Sheng
济南	Jinan
济南市	Jinan Shi
浙江	Zhejiang
浙江省	Zhejiang Sheng
海南	Hainan
海南省	Hainan Sheng
海口	Haikou
海口市	Haikou Shi
湖北	Hubei
湖北省	Hubei Sheng
湖南	Hunan
湖南省	Hunan Sheng
澳門	Aomen
澳門市	Aomen Shi
澳门	Aomen
澳门市	Aomen Shi
濟南	Jinan
濟南市	Jinan Shi
沈阳	Shenyang
沈阳市	Shenyang Shi
沈陽	Shenyang
沈陽市	Shenyang Shi
瀋陽	Shenyang
瀋陽市	Shenyang Shi
渖阳	Shenyang
渖阳市	Shenyang Shi
渖陽	Shenyang
渖陽市	Shenyang Shi
沉阳	Shenyang
沉阳市	Shenyang Shi
沉陽	Shenyang
沉陽市	Shenyang Shi
烏魯木齊	Wulumuqi
烏魯木齊市	Wulumuqi Shi
甘肃	Gansu
甘肃省	Gansu Sheng
甘肅	Gansu
甘肅省	Gansu Sheng
石家庄	Shijiazhuang
石家庄市	Shijiazhuang Shi
石家莊	Shijiazhuang
石家莊市	Shijiazhuang Shi
福州	Fuzhou
福州市	Fuzhou Shi
福建	Fujian
福建省	Fujian Sheng
蘭州	Lanzhou
蘭州市	Lanzhou Shi
西宁	Xi'ning
西宁市	Xi'ning Shi
西安	Xi'an
西安市	Xi'an Shi
西寧	Xi'ning
西寧市	Xi'ning Shi
西藏	Xizang
貴州	Guizhou
貴州省	Guizhou Sheng
貴陽	Guiyang
貴陽市	Guiyang Shi
贵州	Guizhou
贵州省	Guizhou Sheng
贵阳	Guiyang
贵阳市	Guiyang Shi
辽宁	Liaoning
辽宁省	Liaoning Sheng
遼寧	Liaoning
遼寧省	Liaoning Sheng
郑州	Zhengzhou
郑州市	Zhengzhou Shi
鄭州	Zhengzhou
鄭州市	Zhengzhou Shi
重庆	Chongqing
重庆市	Chongqing Shi
重慶	Chongqing
重慶市	Chongqing Shi
銀川	Yinchuan
銀川市	Yinchuan Shi
银川	Yinchuan
银川市	Yinchuan Shi
長春	Changchun
長春市	Changchun Shi
長沙	Changsha
長沙市	Changsha Shi
长春	Changchun
长春市	Changchun Shi
长沙	Changsha
长沙市	Changsha Shi
陕西	Shanxi
陕西省	Shanxi Sheng
陝西	Shanxi
陝西省	Shanxi Sheng
雲南	Yunnan
雲南省	Yunnan Sheng
青海	Qinghai
青海省	Qinghai Sheng
香港	Xianggang
香港市	Xianggang Shi
黑龍江	Heilongjiang
黑龍江省	Heilongjiang Sheng
黑龙江	Heilongjiang
黑龙江省	Heilongjiang Sheng
长安	Chang'an
长安市	Chang'an Shi
